min_max_neurons = [i for i in range(100, 550, 100)]
max_hidden_layers = 4

model = sklearn.neural_network.MLPClassifier(hidden_layer_sizes=permut, activation='relu', alpha=0.0001, batch_size='auto', learning_rate_init=0.001, max_iter=200)

Xtrain[:5000, :], ytrain[:5000]
Xval[:2500, :], yval[:2500]

total time = 19517s = 325 min = 5.5 h

Hidden layer sizes: (300, 300, 500), validation accuracy: 0.9496, accumulated time 1701.40052485466
Hidden layer sizes: (300, 400, 100), validation accuracy: 0.9508, accumulated time 1719.3874373435974
Hidden layer sizes: (300, 400, 200), validation accuracy: 0.9492, accumulated time 1738.2724590301514
Hidden layer sizes: (300, 400, 300), validation accuracy: 0.946, accumulated time 1757.7493033409119
Hidden layer sizes: (300, 400, 400), validation accuracy: 0.9524, accumulated time 1783.2582702636719
Hidden layer sizes: (300, 400, 500), validation accuracy: 0.9524, accumulated time 1806.249801158905
Hidden layer sizes: (300, 500, 100), validation accuracy: 0.9512, accumulated time 1831.6118977069855
Hidden layer sizes: (300, 500, 200), validation accuracy: 0.9528, accumulated time 1857.6927964687347
Hidden layer sizes: (300, 500, 300), validation accuracy: 0.9532, accumulated time 1891.4327902793884
Hidden layer sizes: (300, 500, 400), validation accuracy: 0.9528, accumulated time 1920.4720530509949
Hidden layer sizes: (300, 500, 500), validation accuracy: 0.9516, accumulated time 1956.5427606105804
Hidden layer sizes: (400, 100, 100), validation accuracy: 0.9516, accumulated time 1979.3456053733826
Hidden layer sizes: (400, 100, 200), validation accuracy: 0.9504, accumulated time 2001.2987716197968
Hidden layer sizes: (400, 100, 300), validation accuracy: 0.9476, accumulated time 2021.6471843719482
Hidden layer sizes: (400, 100, 400), validation accuracy: 0.9496, accumulated time 2047.6464974880219
Hidden layer sizes: (400, 100, 500), validation accuracy: 0.9496, accumulated time 2069.3997116088867
Hidden layer sizes: (400, 200, 100), validation accuracy: 0.9512, accumulated time 2092.5085577964783
Hidden layer sizes: (400, 200, 200), validation accuracy: 0.9536, accumulated time 2114.685547351837
Hidden layer sizes: (400, 200, 300), validation accuracy: 0.95, accumulated time 2135.1953744888306
Hidden layer sizes: (400, 200, 400), validation accuracy: 0.9508, accumulated time 2156.4070777893066
Hidden layer sizes: (400, 200, 500), validation accuracy: 0.9528, accumulated time 2177.040899038315
Hidden layer sizes: (400, 300, 100), validation accuracy: 0.9476, accumulated time 2201.121499300003
Hidden layer sizes: (400, 300, 200), validation accuracy: 0.9472, accumulated time 2226.47172498703
Hidden layer sizes: (400, 300, 300), validation accuracy: 0.9516, accumulated time 2253.243243932724
Hidden layer sizes: (400, 300, 400), validation accuracy: 0.948, accumulated time 2278.541372537613
Hidden layer sizes: (400, 300, 500), validation accuracy: 0.9376, accumulated time 2304.347907066345
Hidden layer sizes: (400, 400, 100), validation accuracy: 0.9488, accumulated time 2331.447943687439
Hidden layer sizes: (400, 400, 200), validation accuracy: 0.9488, accumulated time 2357.387119293213
Hidden layer sizes: (400, 400, 300), validation accuracy: 0.9516, accumulated time 2391.710316181183
Hidden layer sizes: (400, 400, 400), validation accuracy: 0.9512, accumulated time 2432.2027785778046
Hidden layer sizes: (400, 400, 500), validation accuracy: 0.9516, accumulated time 2472.637864589691
Hidden layer sizes: (400, 500, 100), validation accuracy: 0.9516, accumulated time 2500.0660774707794
Hidden layer sizes: (400, 500, 200), validation accuracy: 0.946, accumulated time 2526.9461233615875
Hidden layer sizes: (400, 500, 300), validation accuracy: 0.952, accumulated time 2565.561363697052
Hidden layer sizes: (400, 500, 400), validation accuracy: 0.9508, accumulated time 2598.7313194274902
Hidden layer sizes: (400, 500, 500), validation accuracy: 0.938, accumulated time 2627.1841883659363
Hidden layer sizes: (500, 100, 100), validation accuracy: 0.9484, accumulated time 2652.464607000351
Hidden layer sizes: (500, 100, 200), validation accuracy: 0.9504, accumulated time 2678.1860229969025
Hidden layer sizes: (500, 100, 300), validation accuracy: 0.9476, accumulated time 2703.9013645648956
Hidden layer sizes: (500, 100, 400), validation accuracy: 0.95, accumulated time 2729.3013923168182
Hidden layer sizes: (500, 100, 500), validation accuracy: 0.9452, accumulated time 2754.417937040329
Hidden layer sizes: (500, 200, 100), validation accuracy: 0.9472, accumulated time 2782.5173263549805
Hidden layer sizes: (500, 200, 200), validation accuracy: 0.9484, accumulated time 2808.4594123363495
Hidden layer sizes: (500, 200, 300), validation accuracy: 0.9484, accumulated time 2834.2499570846558
Hidden layer sizes: (500, 200, 400), validation accuracy: 0.9504, accumulated time 2858.370355606079
Hidden layer sizes: (500, 200, 500), validation accuracy: 0.95, accumulated time 2885.2372403144836
Hidden layer sizes: (500, 300, 100), validation accuracy: 0.9488, accumulated time 2915.698155641556
Hidden layer sizes: (500, 300, 200), validation accuracy: 0.9548, accumulated time 2940.860718011856
Hidden layer sizes: (500, 300, 300), validation accuracy: 0.9504, accumulated time 2969.2832460403442
Hidden layer sizes: (500, 300, 400), validation accuracy: 0.95, accumulated time 2997.699851512909
Hidden layer sizes: (500, 300, 500), validation accuracy: 0.9484, accumulated time 3028.898418188095
Hidden layer sizes: (500, 400, 100), validation accuracy: 0.9512, accumulated time 3059.53449010849
Hidden layer sizes: (500, 400, 200), validation accuracy: 0.95, accumulated time 3090.5884425640106
Hidden layer sizes: (500, 400, 300), validation accuracy: 0.9544, accumulated time 3120.6804678440094
Hidden layer sizes: (500, 400, 400), validation accuracy: 0.9496, accumulated time 3155.8793675899506
Hidden layer sizes: (500, 400, 500), validation accuracy: 0.9512, accumulated time 3194.5544464588165
Hidden layer sizes: (500, 500, 100), validation accuracy: 0.95, accumulated time 3228.0429096221924
Hidden layer sizes: (500, 500, 200), validation accuracy: 0.9504, accumulated time 3260.5955555438995
Hidden layer sizes: (500, 500, 300), validation accuracy: 0.9484, accumulated time 3295.2169823646545
Hidden layer sizes: (500, 500, 400), validation accuracy: 0.9544, accumulated time 3332.8872594833374
Hidden layer sizes: (500, 500, 500), validation accuracy: 0.9484, accumulated time 3379.9309594631195
Hidden layer sizes: (100, 100, 100, 100), validation accuracy: 0.9428, accumulated time 3387.899649143219
Hidden layer sizes: (100, 100, 100, 200), validation accuracy: 0.938, accumulated time 3397.7762365341187
Hidden layer sizes: (100, 100, 100, 300), validation accuracy: 0.942, accumulated time 3406.4620082378387
Hidden layer sizes: (100, 100, 100, 400), validation accuracy: 0.94, accumulated time 3415.9785592556
Hidden layer sizes: (100, 100, 100, 500), validation accuracy: 0.9416, accumulated time 3426.198228120804
Hidden layer sizes: (100, 100, 200, 100), validation accuracy: 0.9404, accumulated time 3434.659600496292
Hidden layer sizes: (100, 100, 200, 200), validation accuracy: 0.9464, accumulated time 3444.4125185012817
Hidden layer sizes: (100, 100, 200, 300), validation accuracy: 0.9388, accumulated time 3453.32319688797
Hidden layer sizes: (100, 100, 200, 400), validation accuracy: 0.9284, accumulated time 3460.560354232788
Hidden layer sizes: (100, 100, 200, 500), validation accuracy: 0.9444, accumulated time 3471.5455045700073
Hidden layer sizes: (100, 100, 300, 100), validation accuracy: 0.9404, accumulated time 3480.0402960777283
Hidden layer sizes: (100, 100, 300, 200), validation accuracy: 0.9468, accumulated time 3489.2382073402405
Hidden layer sizes: (100, 100, 300, 300), validation accuracy: 0.9388, accumulated time 3498.847509622574
Hidden layer sizes: (100, 100, 300, 400), validation accuracy: 0.9432, accumulated time 3510.628005027771
Hidden layer sizes: (100, 100, 300, 500), validation accuracy: 0.9472, accumulated time 3526.487723350525
Hidden layer sizes: (100, 100, 400, 100), validation accuracy: 0.946, accumulated time 3535.5076010227203
Hidden layer sizes: (100, 100, 400, 200), validation accuracy: 0.9492, accumulated time 3545.163778066635
Hidden layer sizes: (100, 100, 400, 300), validation accuracy: 0.944, accumulated time 3557.824428796768
Hidden layer sizes: (100, 100, 400, 400), validation accuracy: 0.948, accumulated time 3574.1109306812286
Hidden layer sizes: (100, 100, 400, 500), validation accuracy: 0.9432, accumulated time 3589.23743891716
Hidden layer sizes: (100, 100, 500, 100), validation accuracy: 0.946, accumulated time 3599.3045156002045
Hidden layer sizes: (100, 100, 500, 200), validation accuracy: 0.9472, accumulated time 3609.6912484169006
Hidden layer sizes: (100, 100, 500, 300), validation accuracy: 0.946, accumulated time 3625.794184923172
Hidden layer sizes: (100, 100, 500, 400), validation accuracy: 0.946, accumulated time 3642.948007583618
Hidden layer sizes: (100, 100, 500, 500), validation accuracy: 0.9452, accumulated time 3663.592447280884
Hidden layer sizes: (100, 200, 100, 100), validation accuracy: 0.9444, accumulated time 3671.7107577323914
Hidden layer sizes: (100, 200, 100, 200), validation accuracy: 0.942, accumulated time 3679.6979072093964
Hidden layer sizes: (100, 200, 100, 300), validation accuracy: 0.9436, accumulated time 3689.0967712402344
Hidden layer sizes: (100, 200, 100, 400), validation accuracy: 0.9428, accumulated time 3698.1635246276855
Hidden layer sizes: (100, 200, 100, 500), validation accuracy: 0.9432, accumulated time 3707.951350212097
Hidden layer sizes: (100, 200, 200, 100), validation accuracy: 0.9456, accumulated time 3716.2292301654816
Hidden layer sizes: (100, 200, 200, 200), validation accuracy: 0.9444, accumulated time 3725.18128991127
Hidden layer sizes: (100, 200, 200, 300), validation accuracy: 0.9432, accumulated time 3734.33992600441
Hidden layer sizes: (100, 200, 200, 400), validation accuracy: 0.9468, accumulated time 3744.1407363414764
Hidden layer sizes: (100, 200, 200, 500), validation accuracy: 0.9472, accumulated time 3754.9374284744263
Hidden layer sizes: (100, 200, 300, 100), validation accuracy: 0.9412, accumulated time 3763.9483308792114
Hidden layer sizes: (100, 200, 300, 200), validation accuracy: 0.9452, accumulated time 3773.25643825531
Hidden layer sizes: (100, 200, 300, 300), validation accuracy: 0.9432, accumulated time 3783.365913629532
Hidden layer sizes: (100, 200, 300, 400), validation accuracy: 0.9452, accumulated time 3795.68759059906
Hidden layer sizes: (100, 200, 300, 500), validation accuracy: 0.9444, accumulated time 3811.6194186210632
Hidden layer sizes: (100, 200, 400, 100), validation accuracy: 0.9496, accumulated time 3821.515461206436
Hidden layer sizes: (100, 200, 400, 200), validation accuracy: 0.9476, accumulated time 3833.262105703354
Hidden layer sizes: (100, 200, 400, 300), validation accuracy: 0.946, accumulated time 3846.075838327408
Hidden layer sizes: (100, 200, 400, 400), validation accuracy: 0.9468, accumulated time 3862.596935272217
Hidden layer sizes: (100, 200, 400, 500), validation accuracy: 0.95, accumulated time 3885.239909172058
Hidden layer sizes: (100, 200, 500, 100), validation accuracy: 0.948, accumulated time 3896.3387389183044
Hidden layer sizes: (100, 200, 500, 200), validation accuracy: 0.944, accumulated time 3908.7096552848816
Hidden layer sizes: (100, 200, 500, 300), validation accuracy: 0.9448, accumulated time 3926.0188748836517
Hidden layer sizes: (100, 200, 500, 400), validation accuracy: 0.9444, accumulated time 3943.442279815674
Hidden layer sizes: (100, 200, 500, 500), validation accuracy: 0.9444, accumulated time 3972.030352830887
Hidden layer sizes: (100, 300, 100, 100), validation accuracy: 0.94, accumulated time 3981.7024874687195
Hidden layer sizes: (100, 300, 100, 200), validation accuracy: 0.9432, accumulated time 3991.0903809070587
Hidden layer sizes: (100, 300, 100, 300), validation accuracy: 0.9488, accumulated time 4001.155464410782
Hidden layer sizes: (100, 300, 100, 400), validation accuracy: 0.95, accumulated time 4010.706920862198
Hidden layer sizes: (100, 300, 100, 500), validation accuracy: 0.9416, accumulated time 4021.825188398361
Hidden layer sizes: (100, 300, 200, 100), validation accuracy: 0.9412, accumulated time 4032.3191249370575
Hidden layer sizes: (100, 300, 200, 200), validation accuracy: 0.9436, accumulated time 4041.597311973572
Hidden layer sizes: (100, 300, 200, 300), validation accuracy: 0.9468, accumulated time 4052.029413461685
Hidden layer sizes: (100, 300, 200, 400), validation accuracy: 0.9472, accumulated time 4062.7836537361145
Hidden layer sizes: (100, 300, 200, 500), validation accuracy: 0.9524, accumulated time 4075.0847969055176
Hidden layer sizes: (100, 300, 300, 100), validation accuracy: 0.946, accumulated time 4085.5413403511047
Hidden layer sizes: (100, 300, 300, 200), validation accuracy: 0.9472, accumulated time 4096.983740568161
Hidden layer sizes: (100, 300, 300, 300), validation accuracy: 0.9472, accumulated time 4108.2406368255615
Hidden layer sizes: (100, 300, 300, 400), validation accuracy: 0.9508, accumulated time 4122.044234275818
Hidden layer sizes: (100, 300, 300, 500), validation accuracy: 0.9404, accumulated time 4137.578737258911
Hidden layer sizes: (100, 300, 400, 100), validation accuracy: 0.9496, accumulated time 4149.133344888687
Hidden layer sizes: (100, 300, 400, 200), validation accuracy: 0.9516, accumulated time 4162.245340585709
Hidden layer sizes: (100, 300, 400, 300), validation accuracy: 0.9448, accumulated time 4174.487112283707
Hidden layer sizes: (100, 300, 400, 400), validation accuracy: 0.948, accumulated time 4192.787171602249
Hidden layer sizes: (100, 300, 400, 500), validation accuracy: 0.9492, accumulated time 4214.729003190994
Hidden layer sizes: (100, 300, 500, 100), validation accuracy: 0.9488, accumulated time 4232.133459329605
Hidden layer sizes: (100, 300, 500, 200), validation accuracy: 0.9452, accumulated time 4250.460448980331
Hidden layer sizes: (100, 300, 500, 300), validation accuracy: 0.9476, accumulated time 4272.6824498176575
Hidden layer sizes: (100, 300, 500, 400), validation accuracy: 0.95, accumulated time 4301.5594182014465
Hidden layer sizes: (100, 300, 500, 500), validation accuracy: 0.9464, accumulated time 4326.19304895401
Hidden layer sizes: (100, 400, 100, 100), validation accuracy: 0.9424, accumulated time 4335.947962760925
Hidden layer sizes: (100, 400, 100, 200), validation accuracy: 0.9472, accumulated time 4345.123627662659
Hidden layer sizes: (100, 400, 100, 300), validation accuracy: 0.9496, accumulated time 4354.923419952393
Hidden layer sizes: (100, 400, 100, 400), validation accuracy: 0.9476, accumulated time 4364.97952747345
Hidden layer sizes: (100, 400, 100, 500), validation accuracy: 0.9472, accumulated time 4377.575841188431
Hidden layer sizes: (100, 400, 200, 100), validation accuracy: 0.9476, accumulated time 4387.169186592102
Hidden layer sizes: (100, 400, 200, 200), validation accuracy: 0.95, accumulated time 4397.596301317215
Hidden layer sizes: (100, 400, 200, 300), validation accuracy: 0.9372, accumulated time 4405.950958490372
Hidden layer sizes: (100, 400, 200, 400), validation accuracy: 0.9468, accumulated time 4417.736441373825
Hidden layer sizes: (100, 400, 200, 500), validation accuracy: 0.9396, accumulated time 4427.445494651794
Hidden layer sizes: (100, 400, 300, 100), validation accuracy: 0.9448, accumulated time 4438.859969139099
Hidden layer sizes: (100, 400, 300, 200), validation accuracy: 0.9444, accumulated time 4449.134493589401
Hidden layer sizes: (100, 400, 300, 300), validation accuracy: 0.9512, accumulated time 4462.87873673439
Hidden layer sizes: (100, 400, 300, 400), validation accuracy: 0.9492, accumulated time 4476.415998458862
Hidden layer sizes: (100, 400, 300, 500), validation accuracy: 0.9456, accumulated time 4493.540176868439
Hidden layer sizes: (100, 400, 400, 100), validation accuracy: 0.9516, accumulated time 4510.054014444351
Hidden layer sizes: (100, 400, 400, 200), validation accuracy: 0.9468, accumulated time 4527.237542390823
Hidden layer sizes: (100, 400, 400, 300), validation accuracy: 0.9512, accumulated time 4545.991406440735
Hidden layer sizes: (100, 400, 400, 400), validation accuracy: 0.9484, accumulated time 4569.191440343857
Hidden layer sizes: (100, 400, 400, 500), validation accuracy: 0.95, accumulated time 4596.339838504791
Hidden layer sizes: (100, 400, 500, 100), validation accuracy: 0.9428, accumulated time 4611.43447136879
Hidden layer sizes: (100, 400, 500, 200), validation accuracy: 0.9508, accumulated time 4633.672508239746
Hidden layer sizes: (100, 400, 500, 300), validation accuracy: 0.9472, accumulated time 4655.570946216583
Hidden layer sizes: (100, 400, 500, 400), validation accuracy: 0.9476, accumulated time 4682.0111348629
Hidden layer sizes: (100, 400, 500, 500), validation accuracy: 0.9484, accumulated time 4708.921872615814
Hidden layer sizes: (100, 500, 100, 100), validation accuracy: 0.944, accumulated time 4718.304033756256
Hidden layer sizes: (100, 500, 100, 200), validation accuracy: 0.9472, accumulated time 4728.052478551865
Hidden layer sizes: (100, 500, 100, 300), validation accuracy: 0.9428, accumulated time 4738.168424844742
Hidden layer sizes: (100, 500, 100, 400), validation accuracy: 0.9252, accumulated time 4747.993341445923
Hidden layer sizes: (100, 500, 100, 500), validation accuracy: 0.9436, accumulated time 4758.082360506058
Hidden layer sizes: (100, 500, 200, 100), validation accuracy: 0.9468, accumulated time 4768.795221328735
Hidden layer sizes: (100, 500, 200, 200), validation accuracy: 0.9444, accumulated time 4780.172208786011
Hidden layer sizes: (100, 500, 200, 300), validation accuracy: 0.9456, accumulated time 4792.036498069763
Hidden layer sizes: (100, 500, 200, 400), validation accuracy: 0.9404, accumulated time 4803.400617837906
Hidden layer sizes: (100, 500, 200, 500), validation accuracy: 0.944, accumulated time 4817.591666698456
Hidden layer sizes: (100, 500, 300, 100), validation accuracy: 0.95, accumulated time 4832.645425081253
Hidden layer sizes: (100, 500, 300, 200), validation accuracy: 0.9476, accumulated time 4848.048251390457
Hidden layer sizes: (100, 500, 300, 300), validation accuracy: 0.952, accumulated time 4864.818902015686
Hidden layer sizes: (100, 500, 300, 400), validation accuracy: 0.946, accumulated time 4884.650775671005
Hidden layer sizes: (100, 500, 300, 500), validation accuracy: 0.95, accumulated time 4903.909290790558
Hidden layer sizes: (100, 500, 400, 100), validation accuracy: 0.9484, accumulated time 4921.382072687149
Hidden layer sizes: (100, 500, 400, 200), validation accuracy: 0.9512, accumulated time 4947.701670885086
Hidden layer sizes: (100, 500, 400, 300), validation accuracy: 0.9464, accumulated time 4973.0106320381165
Hidden layer sizes: (100, 500, 400, 400), validation accuracy: 0.9456, accumulated time 4992.231738090515
Hidden layer sizes: (100, 500, 400, 500), validation accuracy: 0.9436, accumulated time 5014.663258075714
Hidden layer sizes: (100, 500, 500, 100), validation accuracy: 0.9468, accumulated time 5033.191016674042
Hidden layer sizes: (100, 500, 500, 200), validation accuracy: 0.952, accumulated time 5059.461777925491
Hidden layer sizes: (100, 500, 500, 300), validation accuracy: 0.9468, accumulated time 5086.610683441162
Hidden layer sizes: (100, 500, 500, 400), validation accuracy: 0.9512, accumulated time 5111.346162080765
Hidden layer sizes: (100, 500, 500, 500), validation accuracy: 0.9496, accumulated time 5151.700244903564
Hidden layer sizes: (200, 100, 100, 100), validation accuracy: 0.9424, accumulated time 5164.427209615707
Hidden layer sizes: (200, 100, 100, 200), validation accuracy: 0.9488, accumulated time 5177.481299161911
Hidden layer sizes: (200, 100, 100, 300), validation accuracy: 0.9248, accumulated time 5188.1008994579315
Hidden layer sizes: (200, 100, 100, 400), validation accuracy: 0.9524, accumulated time 5202.002722263336
Hidden layer sizes: (200, 100, 100, 500), validation accuracy: 0.946, accumulated time 5214.845377922058
